source,destination,anchor,relationship
/games/rummy-yono.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/rummy-yono.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/rummy-yono.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/rummy-zip.html,Rummy Zip,directory -> game
/games/rummy.html,/games/rummy-zip.html,Rummy Zip,category -> game (same topic)
/games/rummy-zip.html,/games/rummy.html,All Rummy,game -> parent category
/games/rummy-zip.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/rummy-zip.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/rummy-zip.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/rummy-zip.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/top-rummy.html,Top Rummy,directory -> game
/games/rummy.html,/games/top-rummy.html,Top Rummy,category -> game (same topic)
/games/top-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/top-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/top-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/top-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/top-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/win-rummy.html,Win Rummy,directory -> game
/games/rummy.html,/games/win-rummy.html,Win Rummy,category -> game (same topic)
/games/win-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/win-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/win-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/win-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/win-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/winzo-rummy.html,Winzo Rummy,directory -> game
/games/rummy.html,/games/winzo-rummy.html,Winzo Rummy,category -> game (same topic)
/games/winzo-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/winzo-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/winzo-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/winzo-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/winzo-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/yn-rummy.html,YN Rummy,directory -> game
/games/rummy.html,/games/yn-rummy.html,YN Rummy,category -> game (same topic)
/games/yn-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/yn-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/yn-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/yn-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/yn-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/yono-rummy.html,Yono Rummy,directory -> game
/games/rummy.html,/games/yono-rummy.html,Yono Rummy,category -> game (same topic)
/games/yono-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/yono-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/yono-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/yono-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/yono-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/101z.html,101z,directory -> game
/games/slots-and-777.html,/games/101z.html,101z,category -> game (same topic)
/games/101z.html,/games/slots-and-777.html,All Slots & 777,game -> parent category
/games/101z.html,/games/567-slots.html,567 Slots,game -> sibling (same category)
/games/101z.html,/games/777-game.html,777 Game,game -> sibling (same category)
/games/101z.html,/games/789-jackpots.html,789 Jackpots,game -> sibling (same category)
/games/101z.html,/games/bet-213-slots.html,Bet 213 Slots,game -> sibling (same category)
/games/,/games/567-slots.html,567 Slots,directory -> game
/games/slots-and-777.html,/games/567-slots.html,567 Slots,category -> game (same topic)
/games/567-slots.html,/games/slots-and-777.html,All Slots & 777,game -> parent category
/games/567-slots.html,/games/101z.html,101z,game -> sibling (same category)
/games/567-slots.html,/games/777-game.html,777 Game,game -> sibling (same category)
/games/567-slots.html,/games/789-jackpots.html,789 Jackpots,game -> sibling (same category)
/games/567-slots.html,/games/bet-213-slots.html,Bet 213 Slots,game -> sibling (same category)
/games/,/games/777-game.html,777 Game,directory -> game
/games/slots-and-777.html,/games/777-game.html,777 Game,category -> game (same topic)
/games/777-game.html,/games/slots-and-777.html,All Slots & 777,game -> parent category
/games/777-game.html,/games/101z.html,101z,game -> sibling (same category)
/games/777-game.html,/games/567-slots.html,567 Slots,game -> sibling (same category)
/games/777-game.html,/games/789-jackpots.html,789 Jackpots,game -> sibling (same category)
